theta1,theta2,omega1,omega2,alpha1,alpha2
0.5255678776512431,0.24502004906674468,-0.05074775027705325,-3.30683837364517,-9.826451100016078,7.398880090009008
0.522550946316921,0.1804285639992101,-0.2525037842968977,-3.149316722214031,-10.29461001529085,8.297675841349585
0.51542570522565,0.1191469772157649,-0.46062796248728954,-2.976764772297173,-10.477070186201209,8.921135945997108
0.5041165158386454,0.06142823688664374,-0.6702094980971689,-2.793596498206858,-10.452526583027312,9.375041597151368
0.48863103002402997,0.007456574683667248,-0.8777839850585731,-2.6023553944687126,-10.285761380673364,9.739337468347026
0.4690343496589711,-0.04262056695331781,-1.0810159297956774,-2.4042698393674726,-10.02503547411007,10.066018049353211
0.44542963329020857,-0.0886715760596119,-1.27838825548902,-2.1997725516003026,-9.704505353166777,10.383622646526392
0.41794431368522367,-0.13056905791529722,-1.4689552968628925,-1.9889113423724012,-9.347711434763275,10.703025199205422
0.38672058675168924,-0.1681853236578617,-1.6521604447533997,-1.7716517636379632,-8.970394004518395,11.022251986311115
0.3519090616445641,-0.2013930734316,-1.8276983815542642,-1.5480993244783172,-8.582104915152392,11.329671103561354
0.31366492795390233,-0.23006999862700428,-1.9953970039878204,-1.318674726163599,-8.186576403858075,11.605515795660695
0.27214648877116593,-0.2541066897165053,-2.155095125400149,-1.084274333575223,-7.780951513192823,11.821860842411132
0.22751636261647357,-0.27341785373749483,-2.306494602461046,-0.8464452437627932,-7.354026689935082,11.941223202507393
0.17994604843862894,-0.287957389781115,-2.4489695471818496,-0.6075993702314242,-6.883785331836359,11.914153053369837
0.1296248190107628,-0.2977382559122314,-2.5813241469299695,-0.37127869661455104,-6.334889447506784,11.676761888633497
0.07677389708187563,-0.30285804582036635,-2.701511452462089,-0.14245399196470745,-5.657633697894518,11.150348724684491
0.021666238702212112,-0.3035302906518297,-2.806368134236258,0.07222174606070306,-4.791179787645533,10.247138203812213
-0.035349506126208574,-0.30011900011457526,-2.891489360072944,0.26438147640770254,-3.675015391313942,8.887642443636445
-0.09382554366567164,-0.29316935966805724,-2.9514414950873453,0.4244108999127689,-2.271397812159534,7.033252755779344
